Opinto;Tyyppi;Toteutus;Alkupvm;Loppupvm;Nimi;Vastuutoimipiste;Vastuuohjelma
IT080105B;OSA;213PB;20131020;20131231;Tietokone- ja käyttöjärjestelmätekniikka B;TIEDEB;IT
IT080107B;OSA;213PA;20131020;20131231;Mittaustekniikka, laboraatiot;TIEDEB;IT
IT080107B;OSA;213PB;20131020;20131231;Mittaustekniikka, laboraatiot;TIEDEB;IT
IT080111;OJ;113PA;20130801;20131231;Tietokoneverkkojen etäyhteydet (CCNA 4);TIEDEB;IT
IT080111;OJ;113PB;20130801;20131231;Tietokoneverkkojen etäyhteydet (CCNA 4);TIEDEB;IT
IT080201;OJ;113PA;20130801;20131231;Windows-pääkäyttö;TIEDEB;IT
IT080203A;OSA;213PA;20131020;20131231;Analogiaelektroniikka A;TIEDEB;IT
IT080203B;OSA;213PA;20131020;20131231;Analogiaelektroniikka B;TIEDEB;IT
IT080203B;OSA;213PB;20131020;20131231;Analogiaelektroniikka B;TIEDEB;IT
IT080205;OJ;113PA;20130801;20131231;Tietoliikennetekniikan laboraatiot;TIEDEB;IT
IT080205;OJ;113PC;20130801;20131231;Tietoliikennetekniikan laboraatiot;TIEDEB;IT
IT080303;OJ;113PA;20130801;20131231;Yritysten lähiverkkojen toteutus;TIEDEB;IT
IT080306;OJ;113PA;20130801;20131231;Verkkojen vianhaku (Trouble shooting);TIEDEB;IT
IT080401;OJ;113PA;20130801;20131231;Televerkot;TIEDEB;IT
IT080402;OJ;113PA;20130801;20131231;Radiotekniikka;TIEDEB;IT
IT080404;OJ;113PA;20130801;20131231;Matkapuhelinverkkojen laboraatiot;TIEDEB;IT
IT080703;OJ;113PA;20130801;20131231;Ohjelmistolaboraatiot;TIEDEB;IT
IT080803;OJ;113PA;20130801;20131231;Tietokantasovellutukset;TIEDEB;IT
IT130801;OJ;113PA;20130901;20131231;Algebra;TIEDEB;IT
TY080103;OJ;113PB;20130801;20131231;Johtaminen ja projektitoiminta;TIEDEB;IT
TY080106;OJ;113PC;20130801;20131231;Työelämän ja tekniikan englanti 2;TIEDEB;IT
TY080207A;OSA;213PA;20131020;20131231;Lämpötekniikka ja värähtelyt A;TIEDEB;IT
TY080208SY;OSA;113PI;20130801;20131231;Fysiikan laboratiot, syksy;TIEDEB;IT
TY080209;OJ;113PA;20130801;20131231;Kemia;TIEDEB;IT
VTP0999S;OJ;112PD;20120801;20131231;Liikunta, syksy;TIEDEB;IT
YH00044;OJ;113PL;20130902;20131231;Ruotsin perusteet 2;TIEDEB;IT
YH00044;OJ;213PD;20131020;20131231;Ruotsin perusteet 2;TIEDEB;IT
IT130201;OJ;113PA;20130902;20131218;Sähkötekniikka ja piiriteoria;TIEDEB;IT
TY080106;OJ;113PB;20130902;20131218;Työelämän ja tekniikan englanti 2;TIEDEB;IT
IT080113;OJ;113PA;20130901;20131115;Olio-ohjelmointi (C++);TIEDEB;IT
IT080113;OJ;113PB;20130901;20131115;Olio-ohjelmointi (C++);TIEDEB;IT
IT080303;OJ;413PA;20130304;20131020;Yritysten lähiverkkojen toteutus;TIEDEB;IT
IT080105A;OSA;113PA;20130801;20131019;Tietokone- ja käyttöjärjestelmätekniikka A;TIEDEB;IT
IT080107A;OSA;113PA;20130801;20131019;Mittaustekniikka, luennot;TIEDEB;IT
TY080102;OJ;113PB;20130801;20131019;Asiantuntijaviestintä;TIEDEB;IT
VTP0999K;OJ;313PB;20130101;20130524;Liikunta, kevät;TIEDEB;IT
VTP0999K;OJ;313PC;20130101;20130524;Liikunta, kevät;TIEDEB;IT
IT080110A;OJ;413PA;20130311;20130512;Lähiverkkotekniikka, CCNA3;TIEDEB;IT
IT080110A;OJ;413PB;20130311;20130512;Lähiverkkotekniikka, CCNA3;TIEDEB;IT
IT080115;OJ;313PA;20130101;20130512;Java SE;TIEDEB;IT
IT080115;OJ;313PB;20130101;20130512;Java SE;TIEDEB;IT
IT080103;OJ;313PA;20130107;20130426;Tietoliikennejärjestelmät;TIEDEB;IT
IT080104;OJ;413PA;20130107;20130426;Tekninen dokumentointi;TIEDEB;IT
IT080109;OJ;313PA;20130107;20130426;Reititys IP-verkoissa (CCNA 2);TIEDEB;IT
IT080109;OJ;313PB;20130107;20130426;Reititys IP-verkoissa (CCNA 2);TIEDEB;IT
IT080111;OJ;313PA;20130107;20130426;Tietokoneverkkojen etäyhteydet (CCNA 4);TIEDEB;IT
IT080111;OJ;313PB;20130107;20130426;Tietokoneverkkojen etäyhteydet (CCNA 4);TIEDEB;IT
IT080114;OJ;313PA;20130107;20130426;HTML ja XML;TIEDEB;IT
IT080114;OJ;313PB;20130107;20130426;HTML ja XML;TIEDEB;IT
IT080116;OJ;413PA;20130304;20130426;Relaatiotietokannat;TIEDEB;IT
IT080201;OJ;313PA;20130304;20130426;Windows-pääkäyttö;TIEDEB;IT
IT080202;OJ;413PA;20130304;20130426;Linux-peruskurssi;TIEDEB;IT
IT080305;OJ;313PA;20130107;20130426;CCNA Security;TIEDEB;IT
IT080306;OJ;313PA;20130107;20130426;Verkkojen vianhaku (Trouble shooting);TIEDEB;IT
IT080403;OJ;313PA;20130107;20130426;Matkapuhelinjärjestelmät;TIEDEB;IT
IT080405;OJ;313PA;20130107;20130426;Älyverkkojen työkurssi;TIEDEB;IT
IT080504;OJ;313PA;20130107;20130426;Mobiiliohjelmoinnin projektityö;TIEDEB;IT
IT080508;OJ;313PA;20130107;20130426;Android (Android Programming);TIEDEB;IT
IT080702;OJ;313PA;20130107;20130426;Java EE;TIEDEB;IT
IT080802;OJ;313PA;20130107;20130426;Teollinen ohjelmistotuotanto;TIEDEB;IT
IT080804;OJ;313PA;20130107;20130426;Testaus ja laadunvarmistus;TIEDEB;IT
TY080105;OJ;313PB;20130107;20130426;Työelämän ja tekniikan englanti 1;TIEDEB;IT
TY080105;OJ;313PC;20130107;20130426;Työelämän ja tekniikan englanti 1;TIEDEB;IT
TY080107A;OSA;413PH;20130107;20130426;Ruotsi/Suullinen taito;TIEDEB;IT
TY080107B;OSA;313PH;20130107;20130426;Ruotsi/Kirjallinen taito;TIEDEB;IT
TY080203;OJ;313PC;20130107;20130426;Geometria;TIEDEB;IT
TY080204;OJ;313PD;20130107;20130426;Differentiaali- ja integraalilaskenta;TIEDEB;IT
TY080208KE;OSA;313PI;20130107;20130426;Fysiikan laboraatiot, kevät;TIEDEB;IT
YH00043;OJ;313PH;20130107;20130426;Ruotsin perusteet 1;TIEDEB;IT
YH00043;OJ;313PM;20130107;20130426;Ruotsin perusteet 1;TIEDEB;IT
IT080204B;OSA;313PA;20130107;20130421;Elektroniikan laboraatiot, osa 2;TIEDEB;IT
IT080204B;OSA;313PB;20130107;20130421;Elektroniikan laboraatiot, osa 2;TIEDEB;IT
IT080102;OJ;313PA;20130107;20130301;Ohjelmoitava digitaalitekniikka;TIEDEB;IT
IT080102;OJ;313PB;20130107;20130301;Ohjelmoitava digitaalitekniikka;TIEDEB;IT
IT080106;OJ;313PA;20130107;20130301;Tietoturva ja salaustekniikat;TIEDEB;IT
IT080204A;OSA;313PA;20130107;20130301;Elektroniikan laboraatiot, osa 1;TIEDEB;IT
IT080204A;OSA;313PB;20130107;20130301;Elektroniikan laboraatiot, osa 1;TIEDEB;IT
TY080206;OJ;313PF;20130107;20130301;Sähkömagnetismi;TIEDEB;IT
TY080207B;OSA;313PA;20130107;20130301;Lämpötekniikka ja värähtelyt B;TIEDEB;IT
IT080101;OJ;112PB;20120801;20121231;Johdatus elektroniikkaan ja digitaalitekniikkaan;TIEDEB;IT
IT080108A;OJ;112PB;20120801;20121231;Tietokoneverkkojen perusteet, CCNA1;TIEDEB;IT
IT080112;OJ;112PB;20120801;20121231;C-ohjelmointi;TIEDEB;IT
IT080201;OJ;112PA;20121022;20121231;Windows-pääkäyttö;TIEDEB;IT
IT080205;OJ;112PA;20120823;20121231;Tietoliikennetekniikan laboraatiot;TIEDEB;IT
IT080404;OJ;112PA;20120823;20121231;Matkapuhelinverkkojen laboraatiot;TIEDEB;IT
IT080503;OJ;112PA;20121022;20121231;Java 2ME;TIEDEB;IT
IT080704;OJ;112PA;20121022;20121231;Server side -ohjelmointi;TIEDEB;IT
IT080904;OJ;111PA;20111017;20121231;Elektroniikan CAD;TIEDEB;IT
IT090507;OJ;112PA;20120801;20121231;Windows Phone;TIEDEB;IT
TY080103;OJ;112PA;20120801;20121231;Johtaminen ja projektitoiminta;TIEDEB;IT
TY080209B;OSA;212PG;20121022;20121231;Kemia, laboratoriotyöt;TIEDEB;IT
VTP0999S;OJ;112PE;20120801;20121231;Liikunta, syksy;TIEDEB;IT
IT080101;OJ;112PA;20120823;20121218;Johdatus elektroniikkaan ja digitaalitekniikkaan;TIEDEB;IT
IT080105;OJ;112PA;20120823;20121218;Tietokone- ja käyttöjärjestelmätekniikka;TIEDEB;IT
IT080105;OJ;112PB;20120823;20121218;Tietokone- ja käyttöjärjestelmätekniikka;TIEDEB;IT
IT080107B;OSA;212PA;20121022;20121218;Mittaustekniikka, laboraatiot;TIEDEB;IT
IT080107B;OSA;212PB;20121022;20121218;Mittaustekniikka, laboraatiot;TIEDEB;IT
IT080108A;OJ;112PA;20120823;20121218;Tietokoneverkkojen perusteet, CCNA1;TIEDEB;IT
IT080110A;OJ;112PA;20120823;20121218;Lähiverkkotekniikka, CCNA3;TIEDEB;IT
IT080110A;OJ;112PB;20120823;20121218;Lähiverkkotekniikka, CCNA3;TIEDEB;IT
IT080112;OJ;112PA;20120823;20121218;C-ohjelmointi;TIEDEB;IT
IT080203;OJ;112PA;20121029;20121218;Analogiaelektroniikka;TIEDEB;IT
IT080203;OJ;112PB;20120823;20121218;Analogiaelektroniikka;TIEDEB;IT
IT080301;OJ;112PA;20120823;20121218;Laajojen reititinverkkojen toteutus;TIEDEB;IT
IT080303;OJ;112PA;20120823;20121218;Yritysten lähiverkkojen toteutus;TIEDEB;IT
IT080303;OJ;112PB;20120823;20121218;Yritysten lähiverkkojen toteutus;TIEDEB;IT
IT080402;OJ;112PA;20120823;20121218;Radiotekniikka;TIEDEB;IT
IT080507;OJ;112PA;20120823;20121218;Windows Mobile;TIEDEB;IT
IT080703;OJ;112PA;20120823;20121218;Ohjelmistolaboraatiot;TIEDEB;IT
IT080803;OJ;112PA;20120823;20121218;Tietokantasovellutukset;TIEDEB;IT
TY080202E;OSA;212PI;20121022;20121218;Algebra B;TIEDEB;IT
TY080205;OJ;212PI;20121022;20121218;Mekaniikka;TIEDEB;IT
TY080207A;OSA;212PA;20121022;20121218;Lämpötekniikka ja värähtelyt A;TIEDEB;IT
TY080207A;OSA;212PB;20121022;20121218;Lämpötekniikka ja värähtelyt A;TIEDEB;IT
TY080208SY;OSA;112PE;20120823;20121218;Fysiikan laboratiot, syksy;TIEDEB;IT
TY080208SY;OSA;112PF;20120823;20121218;Fysiikan laboratiot, syksy;TIEDEB;IT
TY080209B;OSA;212PA;20121022;20121218;Kemia, laboratoriotyöt;TIEDEB;IT
TY080208TT;OSA;212PA;20121022;20121215;Fysiikan laboraatiot, työturvallisuus;TIEDEB;IT
TY080107;OJ;112PG;20120903;20121214;Työelämän ja tekniikan ruotsi;TIEDEB;IT
YH00045;OJ;112PA;20120903;20121214;Ruotsin perusteet 3;TIEDEB;IT
IT080113;OJ;112PA;20120823;20121130;Olio-ohjelmointi (C++);TIEDEB;IT
IT080113;OJ;112PB;20120823;20121130;Olio-ohjelmointi (C++);TIEDEB;IT
TY080106;OJ;112PA;20120823;20121130;Työelämän ja tekniikan englanti 2;TIEDEB;IT
IT080401;OJ;112PA;20120801;20121031;Televerkot;TIEDEB;IT
IT080701;OJ;112PA;20120801;20121021;Tietorakenteet ja algoritmit;TIEDEB;IT
IT080801;OJ;112PA;20120801;20121021;Määrittely ja suunnittelu;TIEDEB;IT
TY080101B;OSA;112PA;20120801;20121021;Opiskelutaidot;TIEDEB;IT
TY080101C;OSA;112PL;20120801;20121021;Opiskelutaidot;TIEDEB;IT
TY080101D;OSA;112PE;20120801;20121021;Opiskelutaidot: Tietotekniikan perusteet;TIEDEB;IT
TY080101D;OSA;112PJ;20120801;20121021;Opiskelutaidot: Tietotekniikan perusteet;TIEDEB;IT
TY080102;OJ;112PC;20120901;20121021;Asiantuntijaviestintä;TIEDEB;IT
IT080107A;OSA;112PA;20120823;20121019;Mittaustekniikka, luennot;TIEDEB;IT
TY080101A;OSA;112PG;20120823;20121019;Opiskelutaidot;TIEDEB;IT
TY080101B;OSA;112PG;20120823;20121019;Opiskelutaidot;TIEDEB;IT
TY080101C;OSA;112PG;20120823;20121019;Opiskelutaidot;TIEDEB;IT
TY080104;OJ;112PA;20120823;20121019;Tutkimusviestintä;TIEDEB;IT
TY080201;OJ;112PH;20120823;20121019;Insinöörin matemaattiset apuneuvot;TIEDEB;IT
TY080202D;OSA;112PL;20120823;20121019;Algebra A;TIEDEB;IT
TY080209A;OSA;112PA;20120823;20121019;Kemia, luennot;TIEDEB;IT
VTP0999;OJ;111PB;20110801;20120731;Liikunta;TIEDEB;IT
VTP0999;OJ;111PU;20110801;20120524;Liikunta;TIEDEB;IT
VTP0999K;OJ;312PH;20120101;20120513;Liikunta, kevät;TIEDEB;IT
IT080102;OJ;312PA;20120103;20120511;Ohjelmoitava digitaalitekniikka;TIEDEB;IT
IT080102;OJ;312PB;20120103;20120511;Ohjelmoitava digitaalitekniikka;TIEDEB;IT
IT080103;OJ;312PA;20120103;20120511;Tietoliikennejärjestelmät;TIEDEB;IT
IT080103;OJ;312PB;20120103;20120511;Tietoliikennejärjestelmät;TIEDEB;IT
IT080104;OJ;312PA;20120103;20120511;Tekninen dokumentointi;TIEDEB;IT
IT080106;OJ;312PA;20120103;20120511;Tietoturva ja salaustekniikat;TIEDEB;IT
IT080109;OJ;312PA;20120103;20120511;Reititys IP-verkoissa (CCNA 2);TIEDEB;IT
IT080109;OJ;312PB;20120103;20120511;Reititys IP-verkoissa (CCNA 2);TIEDEB;IT
IT080111;OJ;312PA;20120103;20120511;Tietokoneverkkojen etäyhteydet (CCNA 4);TIEDEB;IT
IT080114;OJ;312PB;20120103;20120511;HTML ja XML;TIEDEB;IT
IT080116;OJ;312PA;20120103;20120511;Relaatiotietokannat;TIEDEB;IT
IT080202;OJ;312PA;20120103;20120511;Linux-peruskurssi;TIEDEB;IT
IT080202;OJ;312PB;20120103;20120511;Linux-peruskurssi;TIEDEB;IT
IT080305;OJ;111PA;20120103;20120511;CCNA Security;TIEDEB;IT
IT080305;OJ;312PA;20120103;20120511;CCNA Security;TIEDEB;IT
IT080306;OJ;312PA;20120103;20120511;Verkkojen vianhaku (Trouble shooting);TIEDEB;IT
IT080403;OJ;312PA;20120103;20120511;Matkapuhelinjärjestelmät;TIEDEB;IT
IT080405;OJ;312PA;20120103;20120511;Älyverkkojen työkurssi;TIEDEB;IT
IT080603;OJ;312PA;20120103;20120511;Tietojärjestelmien ylläpito;TIEDEB;IT
IT080604;OJ;312PA;20120103;20120511;Graafiset käyttöliittymät;TIEDEB;IT
IT080702;OJ;312PA;20120103;20120511;Java EE;TIEDEB;IT
IT080802;OJ;312PA;20120103;20120511;Teollinen ohjelmistotuotanto;TIEDEB;IT
IT080803;OJ;312PA;20120103;20120511;Tietokantasovellutukset;TIEDEB;IT
IT080804;OJ;312PA;20120103;20120511;Testaus ja laadunvarmistus;TIEDEB;IT
IT080901;OJ;312PA;20120103;20120511;Digitaalisten piirien suunnittelu;TIEDEB;IT
IT080903;OJ;312PA;20120103;20120511;Sulautettujen järjestelmien laiteprojekti;TIEDEB;IT
IT081103;OJ;312PA;20120103;20120511;Hajautetut tietoliikenneohjelmistot;TIEDEB;IT
TY080105;OJ;312PB;20120103;20120511;Työelämän ja tekniikan englanti 1;TIEDEB;IT
TY080203B;OSA;412PF;20120312;20120511;Geometria B;TIEDEB;IT
TY080203B;OSA;412PG;20120312;20120511;Geometria B;TIEDEB;IT
TY080208KE;OSA;312PD;20120103;20120511;Fysiikan laboraatiot, kevät;TIEDEB;IT
TY080208KE;OSA;312PE;20120103;20120511;Fysiikan laboraatiot, kevät;TIEDEB;IT
YH00041;OJ;412PA;20120312;20120511;Englannin perusteet 1;TIEDEB;IT
YH00044;OJ;412PA;20120305;20120430;Ruotsin perusteet 2;TIEDEB;IT
TY080204B;OSA;412PH;20120305;20120427;Differentiaali- ja integraalilaskenta B;TIEDEB;IT
IT080114;OJ;312PA;20120104;20120415;HTML ja XML;TIEDEB;IT
IT080115;OJ;312PA;20120103;20120415;Java SE;TIEDEB;IT
IT080204A;OSA;312PA;20120103;20120309;Elektroniikan laboraatiot, osa 1;TIEDEB;IT
IT080204A;OSA;312PB;20120103;20120309;Elektroniikan laboraatiot, osa 1;TIEDEB;IT
IT080204B;OSA;312PA;20120103;20120309;Elektroniikan laboraatiot, osa 2;TIEDEB;IT
TY080203A;OSA;312PF;20120103;20120309;Geometria A;TIEDEB;IT
TY080203A;OSA;312PG;20120103;20120309;Geometria A;TIEDEB;IT
TY080204A;OSA;312PI;20120103;20120309;Differentiaali- ja integraalilaskenta A;TIEDEB;IT
TY080206;OJ;312PF;20120103;20120309;Sähkömagnetismi;TIEDEB;IT
TY080206;OJ;312PG;20120103;20120309;Sähkömagnetismi;TIEDEB;IT
TY080207B;OSA;312PB;20120103;20120309;Lämpötekniikka ja värähtelyt B;TIEDEB;IT
YH00045;OJ;312PA;20120103;20120309;Ruotsin perusteet 3;TIEDEB;IT
IT080803;OJ;111PA;20110801;20120131;Tietokantasovellutukset;TIEDEB;IT
IT080101;OJ;111PA;20110801;20111231;Johdatus elektroniikkaan ja digitaalitekniikkaan;TIEDEB;IT
IT080101;OJ;111PB;20110801;20111231;Johdatus elektroniikkaan ja digitaalitekniikkaan;TIEDEB;IT
IT080101;OJ;111PD;20110801;20111231;Johdatus elektroniikkaan ja digitaalitekniikkaan;TIEDEB;IT
IT080105;OJ;111PA;20110801;20111231;Tietokone- ja käyttöjärjestelmätekniikka;TIEDEB;IT
IT080105;OJ;111PB;20110801;20111231;Tietokone- ja käyttöjärjestelmätekniikka;TIEDEB;IT
IT080107B;OSA;211PA;20111017;20111231;Mittaustekniikka, laboraatiot;TIEDEB;IT
IT080107B;OSA;211PB;20111017;20111231;Mittaustekniikka, laboraatiot;TIEDEB;IT
IT080107B;OSA;211PD;20111020;20111231;Mittaustekniikka, laboraatiot;TIEDEB;IT
IT080108A;OJ;111PA;20110801;20111231;Tietokoneverkkojen perusteet, CCNA1;TIEDEB;IT
IT080108A;OJ;111PD;20110801;20111231;Tietokoneverkkojen perusteet, CCNA1;TIEDEB;IT
IT080110;OJ;111PA;20110801;20111231;Lähiverkkotekniikka (CCNA 3);TIEDEB;IT
IT080110;OJ;111PB;20110801;20111231;Lähiverkkotekniikka (CCNA 3);TIEDEB;IT
IT080111;OJ;211PA;20111017;20111231;Tietokoneverkkojen etäyhteydet (CCNA 4);TIEDEB;IT
IT080112;OJ;111PA;20110801;20111231;C-ohjelmointi;TIEDEB;IT
IT080112;OJ;111PB;20110801;20111231;C-ohjelmointi;TIEDEB;IT
IT080112;OJ;111PD;20110801;20111231;C-ohjelmointi;TIEDEB;IT
IT080113;OJ;111PA;20110801;20111231;Olio-ohjelmointi (C++);TIEDEB;IT
IT080113;OJ;111PB;20110801;20111231;Olio-ohjelmointi (C++);TIEDEB;IT
IT080201;OJ;111PA;20111020;20111231;Windows-pääkäyttö;TIEDEB;IT
IT080203;OJ;211PA;20111020;20111231;Analogiaelektroniikka;TIEDEB;IT
IT080205;OJ;312PA;20110801;20111231;Tietoliikennetekniikan laboraatiot;TIEDEB;IT
IT080205;OJ;312PB;20110801;20111231;Tietoliikennetekniikan laboraatiot;TIEDEB;IT
IT080301;OJ;111PA;20110801;20111231;Laajojen reititinverkkojen toteutus;TIEDEB;IT
IT080303;OJ;111PA;20110801;20111231;Yritysten lähiverkkojen toteutus;TIEDEB;IT
IT080402;OJ;111PA;20110801;20111231;Radiotekniikka;TIEDEB;IT
IT080404;OJ;312PA;20110801;20111231;Matkapuhelinverkkojen laboraatiot;TIEDEB;IT
IT080505;OJ;111PA;20110801;20111231;Qt-ohjelmoinnin perusteet;TIEDEB;IT
IT080601;OJ;111PB;20110801;20111231;Linux-pääkäyttö;TIEDEB;IT
IT080602;OJ;211PA;20110801;20111231;Linux kernel-ohjelmointi;TIEDEB;IT
IT080701;OJ;211PA;20111017;20111231;Tietorakenteet ja algoritmit;TIEDEB;IT
IT080703;OJ;111PA;20110801;20111231;Ohjelmistolaboraatiot;TIEDEB;IT
IT080704;OJ;111PA;20111017;20111231;Server side -ohjelmointi;TIEDEB;IT
IT080801;OJ;412PA;20110801;20111231;Määrittely ja suunnittelu;TIEDEB;IT
IT080902;OJ;111PA;20110801;20111231;Mikro-ohjaimet;TIEDEB;IT
IT081104;OJ;111PA;20110801;20111231;Tietoliikenneohjelmistot;TIEDEB;IT
